Id,CreationDate,Score,ViewCount,Tags,FavoriteCount,AnswerCount
"62542","2019-11-01 19:11:02","1","13","<python><deep-learning><tensorflow><preprocessing><numpy>","","0"
"62547","2019-11-01 19:44:09","1","16","<machine-learning><classification><regression>","","1"
"62548","2019-11-01 20:00:47","0","44","<r><missing-data>","","1"
"62549","2019-11-01 20:20:21","1","98","<python><scikit-learn><scipy>","","1"
"62550","2019-11-01 20:30:20","0","51","<machine-learning><classification><scikit-learn><feature-selection>","","1"
"62551","2019-11-01 20:45:20","3","67","<machine-learning>","","3"
"62553","2019-11-01 22:37:33","2","49","<data><data-cleaning><preprocessing><feature-scaling>","","1"
"62556","2019-11-02 00:30:31","3","55","<machine-learning><python><random-forest><decision-trees>","0","1"
"62558","2019-11-02 02:31:47","0","37","<machine-learning><loss-function><natural-language-process><language-model>","","0"
"62561","2019-11-02 07:03:21","0","14","<machine-learning><dimensionality-reduction>","","0"
"62563","2019-11-02 07:50:14","1","6","<machine-learning><bayesian><non-parametric><bayesian-nonparametric>","","0"
"62569","2019-11-02 12:48:27","0","21","<neural-network><accuracy><error-handling>","","1"
"62571","2019-11-02 13:31:40","0","95","<neural-network><feature-selection><transfer-learning><embeddings><features>","","0"
"62572","2019-11-02 13:36:36","0","9","<machine-learning><ocr>","","0"
"62578","2019-11-02 16:51:29","0","90","<python><text-mining>","","0"
"62579","2019-11-02 16:58:39","0","13","<machine-learning><classification><statistics>","","0"
"62582","2019-11-02 19:19:41","0","37","<neural-network><deep-learning><dataset><image-preprocessing><features>","","2"
"62583","2019-11-02 20:09:44","4","251","<scikit-learn><training>","","2"
"62584","2019-11-02 20:24:05","1","29","<keras><tensorflow><cnn><gpu><colab>","","1"
"62585","2019-11-02 21:00:22","0","43","<data-mining><pandas><data-cleaning><k-nn><error-handling>","1","1"
"62589","2019-11-03 01:48:00","0","13","<neural-network><deep-learning><gradient-descent>","","0"
"62590","2019-11-03 01:50:20","0","217","<scikit-learn><pickle>","","1"
"62592","2019-11-03 03:05:26","3","42","<predictive-modeling><churn><aggregation><survival-analysis>","","1"
"62593","2019-11-03 03:21:41","0","28","<machine-learning><python><deep-learning><keras><lstm>","","0"
"62594","2019-11-03 03:29:23","1","25","<pandas><dataframe><geospatial>","","1"
"62595","2019-11-03 05:01:38","0","24","<classification>","1","0"
"62596","2019-11-03 05:15:30","0","23","<machine-learning><gradient-descent><gaussian><kernel><discriminant-analysis>","","0"
"62598","2019-11-03 06:49:58","0","19","<nlp><lstm><rnn><word-embeddings>","","0"
"62599","2019-11-03 07:14:29","0","18","<machine-learning><deep-learning><naive-bayes-classifier><generative-models>","","0"
"62600","2019-11-03 07:30:11","1","23","<machine-learning><python><predictive-modeling><machine-learning-model>","","0"
"62605","2019-11-03 10:01:03","0","9","<neural-network><classification><pytorch>","","0"
"62612","2019-11-03 18:25:00","1","31","<tensorflow>","","1"
"62613","2019-11-03 18:26:34","1","14","<machine-learning><machine-learning-model>","","0"
"62616","2019-11-03 19:57:27","1","35","<python><neural-network><keras><recommender-system><embeddings>","","0"
"62617","2019-11-03 20:59:44","1","31","<forecasting><time>","","0"
"62622","2019-11-04 03:05:37","0","39","<keras><tensorflow><loss-function><numpy>","","0"
"62623","2019-11-04 03:08:08","0","71","<machine-learning><classification><multilabel-classification>","","3"
"62624","2019-11-04 03:15:54","1","26","<dataset><visualization><graphs>","","1"
"62627","2019-11-04 04:50:55","0","23","<deep-learning><convnet><pytorch><data-augmentation>","","0"
"62628","2019-11-04 05:10:24","0","25","<python><logistic-regression><gradient-descent>","","1"
"62630","2019-11-04 05:27:49","0","23","<data-analysis>","","1"
"62634","2019-11-04 06:37:49","0","228","<xgboost><multilabel-classification>","","0"
"62638","2019-11-04 08:46:37","0","44","<neural-network><sequence-to-sequence><nlg>","","0"
"62640","2019-11-04 10:47:03","1","35","<machine-learning><feature-selection><model-selection>","","1"
"62645","2019-11-04 12:03:16","0","59","<cross-validation><overfitting><sampling>","","1"
"62649","2019-11-04 12:55:42","3","143","<svm><proximal-svm><least-squares-svm>","","2"
"62651","2019-11-04 13:17:35","1","39","<machine-learning><python><neural-network><keras><mathematics>","","1"
