Id,CreationDate,Score,ViewCount,Tags,FavoriteCount,AnswerCount
"33064","2018-06-13 07:01:38","1","","","",""
"33065","2018-06-13 07:13:04","2","","","",""
"33067","2018-06-13 07:40:26","3","","","",""
"33069","2018-06-13 08:07:19","1","","","",""
"33071","2018-06-13 08:49:10","1","6","<python>","","0"
"33072","2018-06-13 09:28:20","0","331","<machine-learning><python><preprocessing><numpy>","","1"
"33073","2018-06-13 10:12:40","1","","","",""
"33075","2018-06-13 11:09:03","25","","","",""
"33076","2018-06-13 11:18:12","5","9694","<classification><data-mining><data-cleaning><unbalanced-classes>","3","3"
"33078","2018-06-13 11:52:47","8","","","",""
"33079","2018-06-13 12:04:02","3","51","<neural-network>","","2"
"33080","2018-06-13 12:16:00","0","","","",""
"33081","2018-06-13 12:20:34","2","1321","<clustering>","1","2"
"33084","2018-06-13 12:31:08","2","5085","<machine-learning><deep-learning>","","2"
"33085","2018-06-13 12:31:43","2","","","",""
"33086","2018-06-13 12:49:02","14","","","",""
"33087","2018-06-13 13:04:00","2","","","",""
"33088","2018-06-13 13:07:04","1","","","",""
"33092","2018-06-13 14:04:44","0","22","<variance><glorot-initialization>","0","1"
"33093","2018-06-13 14:37:20","0","","","",""
"33095","2018-06-13 14:57:43","1","101","<machine-learning><neural-network><gradient-descent><cost-function>","","2"
"33096","2018-06-13 15:06:57","3","","","",""
"33097","2018-06-13 15:10:38","1","","","",""
"33098","2018-06-13 16:19:36","1","40","<classification><xgboost><predictor-importance>","","2"
"33099","2018-06-13 16:44:42","0","2099","<deep-learning><classification><time-series><lstm><anomaly-detection>","","4"
"33100","2018-06-13 17:00:32","1","795","<python><neural-network><keras><visualization>","","1"
"33101","2018-06-13 17:10:01","0","","","",""
"33102","2018-06-13 17:15:19","1","","","",""
"33103","2018-06-13 17:55:15","1","","","",""
"33104","2018-06-13 18:27:11","1","","","",""
"33105","2018-06-13 18:37:10","0","5948","<machine-learning><data-mining><decision-trees><data><pca>","","3"
"33106","2018-06-13 18:50:50","0","91","<image-classification><cnn><cross-validation><convolution>","","2"
"33109","2018-06-13 19:40:15","1","","","",""
"33110","2018-06-13 19:45:15","2","1967","<sentiment-analysis><tfidf>","","1"
"33111","2018-06-13 20:11:25","2","62","<deep-learning><keras>","","1"
"33112","2018-06-13 20:17:57","1","","","",""
"33113","2018-06-13 21:07:47","2","","","",""
"33114","2018-06-13 21:13:06","2","445","<deep-learning><cnn>","","1"
"33115","2018-06-13 21:45:24","3","","","",""
"33117","2018-06-13 22:07:27","10","1497","<logistic-regression><feature-engineering><feature-construction>","2","4"
"33118","2018-06-13 22:07:32","1","","","",""
"33119","2018-06-13 22:14:14","0","","","",""
"33120","2018-06-13 22:24:51","6","","","",""
"33121","2018-06-13 22:35:04","1","","","",""
"33122","2018-06-13 22:48:51","0","","","",""
"33123","2018-06-13 23:15:31","4","","","",""
"33124","2018-06-13 23:20:12","0","","","",""
"33125","2018-06-13 23:26:31","0","","","",""
"33130","2018-06-14 02:33:58","7","","","",""
"33131","2018-06-14 03:09:06","1","","","",""
"33133","2018-06-14 06:16:11","3","491","<machine-learning><clustering><k-means>","2","2"
"33134","2018-06-14 06:20:33","1","","","",""
"33135","2018-06-14 06:31:15","2","1319","<dataset><object-detection>","","1"
"33136","2018-06-14 06:43:29","1","","","",""
"33138","2018-06-14 06:49:27","2","","","",""
"33139","2018-06-14 08:21:57","1","","","",""
"33140","2018-06-14 08:48:19","5","423","<machine-learning><regression><cross-validation>","","1"
"33141","2018-06-14 08:49:34","1","","","",""
"33142","2018-06-14 10:00:58","1","","","",""
"33143","2018-06-14 10:01:36","1","71","<neural-network><regression><lstm>","","1"
"33145","2018-06-14 11:17:06","2","6676","<keras><image-classification><cnn>","","1"
"33146","2018-06-14 11:48:05","3","","","",""
"33147","2018-06-14 11:53:46","2","792","<python><regression><linear-regression>","1","2"
"33149","2018-06-14 12:09:03","3","","","",""
"33150","2018-06-14 12:42:32","2","","","",""
"33151","2018-06-14 12:47:44","4","36","<nlp><stanford-nlp>","1","1"
"33153","2018-06-14 13:34:11","0","65","<time-series><algorithms><prediction>","","2"
"33154","2018-06-14 13:56:00","0","","","",""
"33155","2018-06-14 13:58:57","0","","","",""
"33156","2018-06-14 14:04:01","0","","","",""
"33158","2018-06-14 14:48:15","10","419","<xgboost>","5","3"
"33159","2018-06-14 14:54:07","2","1154","<python><scikit-learn><regex><ngrams><tokenization>","1","1"
"33160","2018-06-14 15:10:58","1","42","<data-mining><data-analysis>","","1"
"33161","2018-06-14 15:42:09","3","","","",""
"33162","2018-06-14 15:47:31","1","","","",""
"33164","2018-06-14 16:06:38","9","","","",""
"33167","2018-06-14 18:31:43","7","","","",""
"33170","2018-06-14 20:18:40","3","3430","<machine-learning><classification><xgboost>","1","1"
"33171","2018-06-14 20:35:18","1","8010","<python><pandas><dataframe>","3","1"
"33172","2018-06-14 20:44:07","4","1204","<machine-learning><linear-regression><optimization><gradient-descent>","1","2"
"33174","2018-06-14 20:56:44","1","41","<distance>","","1"
"33175","2018-06-14 21:10:52","1","","","",""
"33176","2018-06-14 21:39:05","3","","","",""
"33177","2018-06-14 21:54:26","3","","","",""
"33178","2018-06-14 22:49:25","1","115","<distance>","","1"
"33179","2018-06-14 22:56:14","1","70","<image-recognition><aws><ocr>","","1"
"33180","2018-06-15 00:50:28","1","","","",""
"33181","2018-06-15 01:15:14","2","","","",""
"33182","2018-06-15 01:45:13","1","99","<python><image-classification><image-recognition><distance><k-nn>","","0"
"33184","2018-06-15 03:21:12","1","","","",""
"33186","2018-06-15 07:06:10","2","","","",""
"33187","2018-06-15 07:26:40","2","","","",""
"33188","2018-06-15 07:29:49","1","71","<machine-learning><classification><unbalanced-classes>","2","1"
"33189","2018-06-15 07:33:36","1","215","<variance><bias><generalization>","3","2"
"33190","2018-06-15 07:37:49","2","","","",""
"33191","2018-06-15 07:37:52","1","36","<machine-learning><python><time-series><multiclass-classification>","","2"
"33192","2018-06-15 07:40:04","2","238","<classification><svm><class-imbalance><hyperparameter-tuning>","1","3"
"33194","2018-06-15 07:58:05","1","","","",""
"33195","2018-06-15 08:12:41","0","","","",""
"33197","2018-06-15 08:30:32","2","","","",""
"33198","2018-06-15 08:35:17","3","","","",""
"62542","2019-11-01 19:11:02","1","13","<python><deep-learning><tensorflow><preprocessing><numpy>","","0"
