Id,CreationDate,Score,ViewCount,Tags,FavoriteCount,AnswerCount
"6643","2015-07-31 08:21:49","5","6048","<deep-learning>","1","3"
"6644","2015-07-31 09:26:34","17","","","",""
"6645","2015-07-31 10:54:37","2","2667","<machine-learning><data-mining><r><classification><random-forest>","1","0"
"6646","2015-07-31 11:59:35","0","","","",""
"6647","2015-07-31 14:21:03","-1","","","",""
"6648","2015-07-27 12:59:05","4","1868","<machine-learning><nlp>","1","1"
"6649","2015-07-31 17:20:10","4","1738","<machine-learning><r><python><statistics>","","1"
"6650","2015-07-31 18:58:25","4","","","",""
"6651","2015-07-31 19:49:03","3","","","",""
"6653","2015-07-31 21:03:23","2","","","",""
"6654","2015-08-01 10:56:11","1","","","",""
"6655","2015-08-01 17:47:09","4","","","",""
"6659","2015-08-02 09:22:41","2","50","<data>","2","0"
"6660","2015-08-02 11:48:27","1","1591","<r><recommender-system><similarity>","1","2"
"6663","2015-08-02 18:39:25","2","","","",""
"6664","2015-08-03 06:27:50","3","","","",""
"6665","2015-08-03 11:45:11","4","325","<python><topic-model><lda>","","2"
"6666","2015-08-03 12:19:06","2","","","",""
"6667","2015-08-03 13:31:35","4","","","",""
"6670","2015-08-03 22:08:42","2","","","",""
"6672","2015-08-04 01:14:53","1","","","",""
"6673","2015-08-04 01:29:21","5","","","",""
"6674","2015-08-04 03:18:22","3","512","<data-mining><algorithms>","","2"
"6675","2015-08-04 06:57:33","0","550","<machine-learning><classification><neural-network>","","1"
"6676","2015-08-04 08:11:30","25","34172","<python><logistic-regression><scikit-learn><gradient-descent>","12","4"
"6679","2015-08-04 10:48:20","1","312","<r><clustering><time-series><bioinformatics>","","1"
"6680","2015-08-04 12:36:20","1","216","<machine-learning><dataset><algorithms>","2","1"
"6681","2015-08-04 13:44:22","6","542","<machine-learning><predictive-modeling><survival-analysis><churn>","1","3"
"6683","2015-08-04 17:44:35","12","15134","<feature-selection><random-forest><scikit-learn>","7","1"
"6684","2015-08-04 17:55:20","14","","","",""
"6685","2015-08-04 17:59:06","3","","","",""
"6687","2015-08-04 19:25:34","2","64","<clustering><clusters><hierarchical-data-format>","","0"
"6688","2015-08-04 20:22:00","2","","","",""
"6689","2015-08-04 21:09:48","2","","","",""
"6690","2015-08-04 21:39:31","1","","","",""
"6691","2015-08-04 22:15:52","3","5409","<machine-learning><nlp><social-network-analysis><sentiment-analysis>","1","3"
"6693","2015-08-05 05:18:55","5","127","<machine-learning><data-mining>","","2"
"6694","2015-08-05 05:58:44","9","2473","<machine-learning><books><reinforcement-learning>","6","4"
"6696","2015-08-05 06:48:49","7","","","",""
"6698","2015-08-05 07:01:10","3","","","",""
"6699","2015-08-05 07:17:04","1","","","",""
"6700","2015-08-05 10:27:51","3","133","<machine-learning><markov-process><reinforcement-learning>","","1"
"6701","2015-08-05 10:53:17","0","40","<r>","","2"
"6702","2015-08-05 11:24:34","1","","","",""
"6703","2015-08-05 11:28:25","0","","","",""
"6704","2015-08-05 14:35:57","0","","","",""
"6705","2015-08-05 16:22:23","4","","","",""
"6707","2015-08-06 01:25:40","3","","","",""
"6709","2015-08-06 06:03:20","0","517","<machine-learning><reinforcement-learning>","","1"
"6710","2015-08-06 09:09:00","2","","","",""
"6711","2015-08-06 09:25:34","0","","","",""
"6714","2015-08-06 16:32:40","1","","","",""
"6715","2015-08-06 20:58:57","25","23218","<python><clustering><clusters><anomaly-detection>","16","4"
"6716","2015-08-06 21:38:01","6","","","",""
"6717","2015-08-07 00:20:03","1","","","",""
"6718","2015-08-07 00:22:14","21","","","",""
"6719","2015-08-07 04:31:06","2","101","<machine-learning><reinforcement-learning>","1","1"
"6720","2015-08-07 05:15:00","3","","","",""
"6721","2015-08-07 10:43:50","6","8968","<data-mining><random-forest><data><decision-trees><preprocessing>","1","1"
"6722","2015-08-07 11:02:11","0","","","",""
"6724","2015-08-07 21:37:39","4","","","",""
"6725","2015-08-07 22:13:30","12","","","",""
"6726","2015-08-08 08:16:15","1","480","<python><random-forest><scikit-learn>","","2"
"6727","2015-08-08 11:14:35","2","2834","<python><csv>","","3"
"6729","2015-08-08 13:22:01","0","","","",""
"6732","2015-08-09 03:06:58","2","","","",""
"6735","2015-08-09 12:05:42","3","982","<statistics><correlation><linear-regression>","1","2"
"6736","2015-08-09 13:56:21","1","4089","<usecase>","3","2"
"6737","2015-08-09 14:27:33","3","1557","<nlp>","2","2"
"6739","2015-08-09 18:49:55","3","","","",""
"6740","2015-08-09 19:20:37","1","26","<optimization>","","1"
"6743","2015-08-10 08:53:30","2","","","",""
"6744","2015-08-10 12:48:17","1","141","<machine-learning><svm><dimensionality-reduction><libsvm>","","2"
"6745","2015-08-10 15:24:05","0","","","",""
"6746","2015-08-10 15:38:47","1","","","",""
"6747","2015-08-10 18:25:21","2","","","",""
